         5675785 function calls (5660939 primitive calls) in 747.742 seconds

   Ordered by: cumulative time
   List reduced from 1676 to 503 due to restriction <0.3>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.077    0.077 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\stylesheet.py:232(write_stylesheet)
        5    0.006    0.001    0.076    0.015 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\worksheet\_reader.py:367(bind_cells)
     3563    0.047    0.000    0.072    0.000 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\json\decoder.py:343(raw_decode)
     2700    0.017    0.000    0.067    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\descriptors\base.py:106(__set__)
    17813    0.056    0.000    0.066    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\cell\cell.py:123(coordinate)
    18622    0.024    0.000    0.063    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\cell_style.py:52(__new__)
      323    0.010    0.000    0.060    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\cell_style.py:93(__init__)
    35656    0.049    0.000    0.060    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\cell_style.py:56(__hash__)
      186    0.011    0.000    0.060    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\worksheet\_reader.py:125(parse)
     3577    0.058    0.000    0.058    0.000 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\threading.py:236(__init__)
     3560    0.039    0.000    0.057    0.000 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\threading.py:924(__repr__)
        5    0.000    0.000    0.057    0.011 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\reader\excel.py:150(read_workbook)
      110    0.003    0.000    0.056    0.001 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\fonts.py:101(from_tree)
        1    0.001    0.001    0.056    0.056 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\zipfile.py:1763(write)
     3560    0.042    0.000    0.053    0.000 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\threading.py:832(<listcomp>)
        1    0.000    0.000    0.049    0.049 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\urllib3\connection.py:708(_ssl_wrap_socket_and_match_hostname)
   412/29    0.016    0.000    0.048    0.002 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\descriptors\serialisable.py:106(to_tree)
    32435    0.047    0.000    0.047    0.000 {method 'replace' of 'str' objects}
    17822    0.046    0.000    0.046    0.000 {method 'finditer' of 're.Pattern' objects}
        5    0.000    0.000    0.046    0.009 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\reader\workbook.py:27(__init__)
        5    0.000    0.000    0.045    0.009 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\workbook\workbook.py:59(__init__)
        2    0.000    0.000    0.043    0.021 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\urllib3\connection.py:197(_new_conn)
        2    0.000    0.000    0.043    0.021 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\urllib3\util\connection.py:27(create_connection)
     4239    0.029    0.000    0.043    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\descriptors\serialisable.py:160(__iter__)
        5    0.000    0.000    0.042    0.008 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\reader\excel.py:139(read_strings)
     4220    0.017    0.000    0.042    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\named_styles.py:76(__setattr__)
     7172    0.041    0.000    0.041    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.041    0.041 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\stylesheet.py:182(to_tree)
    18692    0.041    0.000    0.041    0.000 {built-in method __new__ of type object at 0x7C82D928}
     2120    0.012    0.000    0.040    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\descriptors\base.py:86(__set__)
        5    0.005    0.001    0.040    0.008 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\reader\strings.py:10(read_string_table)
      169    0.002    0.000    0.039    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\fills.py:57(from_tree)
        3    0.038    0.013    0.038    0.013 {method 'connect' of '_socket.socket' objects}
      295    0.008    0.000    0.038    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\borders.py:87(__init__)
      169    0.004    0.000    0.037    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\fills.py:96(_from_tree)
    17808    0.025    0.000    0.035    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\styleable.py:147(has_style)
        1    0.001    0.001    0.035    0.035 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\shutil.py:189(copyfileobj)
        1    0.000    0.000    0.035    0.035 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\stylesheet.py:140(_split_named_styles)
        1    0.000    0.000    0.035    0.035 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\paramiko\client.py:652(_auth)
    37725    0.035    0.000    0.035    0.000 {method 'startswith' of 'str' objects}
      605    0.005    0.000    0.033    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\colors.py:80(__init__)
        1    0.000    0.000    0.033    0.033 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\paramiko\client.py:572(invoke_shell)
        1    0.000    0.000    0.033    0.033 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\ssl.py:591(load_default_certs)
        2    0.006    0.003    0.033    0.016 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\ssl.py:577(_load_windows_store_certs)
     1699    0.016    0.000    0.033    0.000 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\xml\etree\ElementTree.py:1241(iterator)
    34093    0.032    0.000    0.032    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\descriptors\base.py:24(__set__)
    19726    0.032    0.000    0.032    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\cell_style.py:29(__set__)
      7/5    0.000    0.000    0.031    0.006 <frozen importlib._bootstrap>:1165(_find_and_load)
