         44177217 function calls (43296146 primitive calls) in 2347.560 seconds

   Ordered by: cumulative time
   List reduced from 1905 to 572 due to restriction <0.3>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.032    0.006    0.644    0.129 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\ModularAutomation\modules\excel_handler.py:109(ws_per_key)
        5    0.001    0.000    0.640    0.128 C:\Python312-32\Lib\site-packages\openpyxl\reader\excel.py:284(read)
   110558    0.282    0.000    0.623    0.000 {method 'join' of 'str' objects}
  57530/9    0.658    0.000    0.620    0.069 C:\Python312-32\Lib\xml\etree\ElementTree.py:849(_serialize_xml)
    17808    0.148    0.000    0.582    0.000 C:\Python312-32\Lib\site-packages\openpyxl\cell\_writer.py:45(etree_write_cell)
    35984    0.122    0.000    0.577    0.000 C:\Python312-32\Lib\site-packages\openpyxl\worksheet\worksheet.py:221(cell)
    24934    0.121    0.000    0.552    0.000 C:\Python312-32\Lib\site-packages\urllib3\connection.py:305(putheader)
    45774    0.234    0.000    0.550    0.000 C:\Python312-32\Lib\re\__init__.py:199(split)
    10687    0.133    0.000    0.550    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command.py:56(__init__)
     3562    0.175    0.000    0.549    0.000 C:\Python312-32\Lib\site-packages\requests\models.py:484(prepare_headers)
        5    0.001    0.000    0.527    0.105 C:\Python312-32\Lib\site-packages\openpyxl\styles\stylesheet.py:188(apply_stylesheet)
     3562    0.005    0.000    0.524    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_process_net_command_json.py:271(on_threads_request)
     3562    0.008    0.000    0.519    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_api.py:146(list_threads)
     3562    0.125    0.000    0.510    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command_factory_json.py:144(make_list_threads_message)
   247925    0.445    0.000    0.509    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   109105    0.275    0.000    0.494    0.000 C:\Python312-32\Lib\threading.py:394(notify)
      2/1    0.000    0.000    0.494    0.494 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\ModularAutomation\modules\console.py:31(console_login)
    53965    0.137    0.000    0.489    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\pydevd.py:1626(notify_thread_created)
    85488    0.338    0.000    0.485    0.000 C:\Python312-32\Lib\_collections_abc.py:892(__iter__)
      2/1    0.001    0.000    0.483    0.483 C:\Python312-32\Lib\site-packages\paramiko\client.py:217(connect)
    35362    0.348    0.000    0.483    0.000 C:\Python312-32\Lib\urllib\parse.py:374(urlparse)
        1    0.000    0.000    0.479    0.479 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\ModularAutomation\modules\webhook_api.py:4(webhook_send)
     6948    0.068    0.000    0.469    0.000 C:\Python312-32\Lib\site-packages\requests\cookies.py:124(extract_cookies_to_jar)
     3562    0.031    0.000    0.465    0.000 C:\Python312-32\Lib\site-packages\urllib3\util\url.py:351(_encode_target)
     3562    0.095    0.000    0.447    0.000 C:\Python312-32\Lib\site-packages\requests\utils.py:199(get_netrc_auth)
1688876/1685296    0.422    0.000    0.430    0.000 {built-in method builtins.len}
  1325362    0.427    0.000    0.427    0.000 {method 'lower' of 'str' objects}
     3474    0.036    0.000    0.417    0.000 C:\Python312-32\Lib\site-packages\urllib3\_collections.py:242(__init__)
     3562    0.036    0.000    0.394    0.000 C:\Python312-32\Lib\site-packages\requests\utils.py:76(proxy_bypass_registry)
     3474    0.217    0.000    0.384    0.000 C:\Python312-32\Lib\email\feedparser.py:469(_parse_headers)
   117684    0.343    0.000    0.382    0.000 {method 'format' of 'str' objects}
    14249    0.070    0.000    0.379    0.000 C:\Python312-32\Lib\json\__init__.py:183(dumps)
   146923    0.176    0.000    0.376    0.000 C:\Python312-32\Lib\site-packages\openpyxl\compat\strings.py:12(safe_string)
     3563    0.072    0.000    0.375    0.000 C:\Python312-32\Lib\socket.py:946(getaddrinfo)
     7124    0.099    0.000    0.372    0.000 C:\Python312-32\Lib\site-packages\requests\utils.py:836(select_proxy)
        3    0.001    0.000    0.370    0.123 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\ModularAutomation\modules\excel_handler.py:10(read_template)
    17808    0.107    0.000    0.368    0.000 C:\Python312-32\Lib\site-packages\openpyxl\cell\_writer.py:12(_set_attributes)
     3564    0.047    0.000    0.362    0.000 c:\Users\admin\.vscode\extensions\ms-python.python-2023.22.1\pythonFiles\lib\python\debugpy\_vendored\pydevd\pydevd_tracing.py:274(set_trace_to_threads)
 2175/256    0.035    0.000    0.362    0.001 C:\Python312-32\Lib\site-packages\openpyxl\descriptors\serialisable.py:46(from_tree)
     3474    0.128    0.000    0.356    0.000 C:\Python312-32\Lib\site-packages\urllib3\_collections.py:337(extend)
    24934    0.114    0.000    0.351    0.000 C:\Python312-32\Lib\site-packages\requests\utils.py:340(to_key_val_list)
    31898    0.156    0.000    0.345    0.000 C:\Python312-32\Lib\email\message.py:493(get)
        5    0.001    0.000    0.343    0.069 C:\Python312-32\Lib\site-packages\openpyxl\styles\stylesheet.py:97(from_tree)
